word,meaning,sort,title,phonetic,definition
typhoon,n. 台风,1,Chapter 1 自然地理,/taɪˈfuːn/,A very strong storm over the ocean
volcano,n. 火山,1,Chapter 1 自然地理,/vɒlˈkeɪnəʊ/,A mountain that throws out hot melted rock
erupt,v. 爆发，喷发；(斑疹等)突然出现,1,Chapter 1 自然地理,/ɪˈrʌpt/,To suddenly throw out something with force
magma,n. 岩浆,1,Chapter 1 自然地理,/ˈmæɡmə/,Hot melted rock under the ground
thermodynamic,adj. 热力的；热力学的,1,Chapter 1 自然地理,/ˌθɜːməʊdaɪˈnæmɪk/,About heat and energy moving
smog,n. 烟雾，雾霾,1,Chapter 1 自然地理,/smɒɡ/,Dirty air from smoke and fog mixed
fume,n. [~s](难闻且常为有害的)烟，气体 v. 冒烟；发怒,1,Chapter 1 自然地理,/fjuːm/,Bad smoke or gas
mist,n. 薄雾；水汽；使视线模糊的东西,1,Chapter 1 自然地理,/mɪst/,Thin fog that you can see through a little
tsunami,n. 海啸,1,Chapter 1 自然地理,/tsuːˈnɑːmi/,A huge wave caused by earthquake
drought,n. 干旱，旱灾,1,Chapter 1 自然地理,/draʊt/,A long time with no rain
flooding,n. 洪水泛滥,1,Chapter 1 自然地理,/ˈflʌdɪŋ/,When too much water covers the land
torrent,n. 激流，洪流,1,Chapter 1 自然地理,/ˈtɒrənt/,Water moving very fast and strong
earthquake,n. 地震,1,Chapter 1 自然地理,/ˈɜːθkweɪk/,When the ground shakes
seismic,adj. 地震的，地震引起的,1,Chapter 1 自然地理,/ˈsaɪzmɪk/,About earthquakes
avalanche,n. 雪崩,1,Chapter 1 自然地理,/ˈævəlɑːnʃ/,A lot of snow falling down a mountain
terrain,n. 地形,1,Chapter 1 自然地理,/təˈreɪn/,The type of land in an area
landscape,n. 风景，地貌 v. 对……进行景观美化,1,Chapter 1 自然地理,/ˈlændskeɪp/,The way land looks in an area
continent,n. 大陆；洲,1,Chapter 1 自然地理,/ˈkɒntɪnənt/,A very large piece of land
cave,n. 洞穴，山洞,1,Chapter 1 自然地理,/keɪv/,A big hole in a mountain or under ground
cliff,n. 悬崖，峭壁,1,Chapter 1 自然地理,/klɪf/,A very high steep rock face
glacier,n. 冰河，冰川,1,Chapter 1 自然地理,/ˈɡlæsiə(r)/,A big river of ice moving slowly
swamp,n. 沼泽，湿地,1,Chapter 1 自然地理,/swɒmp/,Wet soft land with water and plants
delta,n. 三角洲,1,Chapter 1 自然地理,/ˈdeltə/,Land made where a river meets the sea
plain,n. 平原 adj. 简朴的；明白的,1,Chapter 1 自然地理,/pleɪn/,A large flat area of land
plateau,n. 高原,1,Chapter 1 自然地理,/ˈplætəʊ/,A high flat area of land
oasis,n. 绿洲；宜人之地,1,Chapter 1 自然地理,/əʊˈeɪsɪs/,A place with water in a desert
globe,n. 球体；地球仪；[the ~] 地球,1,Chapter 1 自然地理,/ɡləʊb/,"A round ball, or the Earth"
hemisphere,n. 半球,1,Chapter 1 自然地理,/ˈhemɪsfɪə(r)/,Half of the Earth
equator,n. 赤道,1,Chapter 1 自然地理,/ɪˈkweɪtə(r)/,An imaginary line around the middle of Earth
arctic,adj. 极冷的；[A~] 北极的 n. [the A~] 北极地区，北极,1,Chapter 1 自然地理,/ˈɑːktɪk/,"The area around the North Pole, very cold"
Antarctic,adj. 南极的 n. [the ~] 南极地区，南极洲,1,Chapter 1 自然地理,/ænˈtɑːktɪk/,"The area around the South Pole, very cold"
pole,n.竿，杆,1,Chapter 1 自然地理,/pəʊl/,"A long stick, or the top or bottom of Earth"
polar,adj. 极地的，近极地的；对立的,1,Chapter 1 自然地理,/ˈpəʊlə(r)/,"Near the North or South Pole, very cold"
axis,n. 轴，轴线,1,Chapter 1 自然地理,/ˈæksɪs/,An imaginary line through the middle
deteriorate,v. 恶化，变坏,1,Chapter 1 自然地理,/dɪˈtɪəriəreɪt/,To become worse
aggravate,v. 加重，加剧，使恶化,1,Chapter 1 自然地理,/ˈæɡrəveɪt/,To make something worse
degrade,v. 降解；降低……的身份；使恶化，使退化,1,Chapter 1 自然地理,/dɪˈɡreɪd/,To make something lower in quality
upgrade,V. 使升级；提高，改善,1,Chapter 1 自然地理,/ˌʌpˈɡreɪd/,To make something better
erode,v. 侵蚀，腐蚀,1,Chapter 1 自然地理,/ɪˈrəʊd/,To slowly wear away by water or wind
Mediterranean,adj. 地中海的；地中海地区的 n. 地中海；地中海地区,1,Chapter 1 自然地理,/ˌmedɪtəˈreɪniən/,The sea between Europe and Africa
Atlantic,adj. 大西洋的 n. [the ~] 大西洋,1,Chapter 1 自然地理,/ətˈlæntɪk/,The ocean between America and Europe
pacific,adj. 平静的，和平的；[P~] 太平洋的 n. [the P~] 太平洋,1,Chapter 1 自然地理,/pəˈsɪfɪk/,The biggest ocean on Earth
ocean,n. 海洋；(五大洋之一的)洋,1,Chapter 1 自然地理,/ˈəʊʃ(ə)n/,A very large area of salt water
marine,adj. 海生的，海洋的；海事的 n. 水兵,1,Chapter 1 自然地理,/məˈriːn/,Living in or about the sea
navigation,n. 航行；航海,1,Chapter 1 自然地理,/ˌnævɪˈɡeɪʃ(ə)n/,Finding your way when traveling
gulf,n. 海湾,1,Chapter 1 自然地理,/ɡʌlf/,A large bay in the ocean
beach,n. 海滩，河滩,1,Chapter 1 自然地理,/biːtʃ/,Sandy or stony land by the sea
coast,n. 海岸，海滨,1,Chapter 1 自然地理,/kəʊst/,The land along the sea
shore,n.(海、湖等大水域的)岸，滨,1,Chapter 1 自然地理,/ʃɔː(r)/,The land along water
tide,n. 趋势，潮流；潮汐,1,Chapter 1 自然地理,/taɪd/,The rise and fall of the sea
current,n. 潮流，趋势 adj. 当前的,1,Chapter 1 自然地理,/ˈkʌrənt/,Water or air moving in one direction
brook,n. 小河，溪,1,Chapter 1 自然地理,/brʊk/,A small river
stream,n. 小河，溪；流 v. 流动，流出,1,Chapter 1 自然地理,/striːm/,A small river
source,n. 河的源头；根源,1,Chapter 1 自然地理,/sɔːs/,Where something starts or comes from
shallow,adj. 浅的；肤浅的，浅薄的,1,Chapter 1 自然地理,/ˈʃæləʊ/,Not deep
superficial,adj.表面的，外表的；肤浅的,1,Chapter 1 自然地理,/ˌsuːpəˈfɪʃ(ə)l/,"Only on the surface, not deep"
flat,n.【尤英】单元房，公寓,1,Chapter 1 自然地理,/flæt/,"Smooth and level, not high or low"
smooth,adj. 光滑的；平稳的；流畅的,1,Chapter 1 自然地理,/smuːð/,Having no bumps or rough parts
rough,adj. 粗糙的；粗略的,1,Chapter 1 自然地理,/rʌf/,"Not smooth, with bumps"
sandy,adj. 铺满沙的；含沙的,1,Chapter 1 自然地理,/ˈsændi/,Covered with sand
stony,adj. 石头的；多石的,1,Chapter 1 自然地理,/ˈstəʊni/,Covered with stones
vertical,adj. 垂直的，直立的,1,Chapter 1 自然地理,/ˈvɜːtɪk(ə)l/,Going straight up and down
steep,adj. 陡峭的，陡直的,1,Chapter 1 自然地理,/stiːp/,A word in this category
parallel,n. 平行线；相似之物；相似之处 adj. 平行的 v. 与…… 相似；比得上,1,Chapter 1 自然地理,/ˈpærəlel/,A word in this category
narrow,adj. 狭窄的；有局限的 n. [~s] 海峡 v. 变窄,1,Chapter 1 自然地理,/ˈnærəʊ/,A word in this category
Oceania,n. 大洋洲,1,Chapter 1 自然地理,/ˌəʊsiˈɑːniə/,A word in this category
mainland,n. 大陆，本土,1,Chapter 1 自然地理,/ˈmeɪnlənd/,A word in this category
peninsula,n. 半岛,1,Chapter 1 自然地理,/pəˈnɪnsjələ/,A word in this category
climate,n. 气候；风气，思潮，环境,1,Chapter 1 自然地理,/ˈklaɪmət/,A word in this category
weather,n. 天气，气象,1,Chapter 1 自然地理,/ˈweðə(r)/,A word in this category
meteorology,n. 气象学,1,Chapter 1 自然地理,/ˌmiːtiəˈrɒlədʒi/,A word in this category
mild,adj. 温和的；不严重的,1,Chapter 1 自然地理,/maɪld/,A word in this category
heating,n. 供暖；暖气装置,1,Chapter 1 自然地理,/ˈhiːtɪŋ/,A word in this category
moderate,adj.适度的；温和的；中等的 v.(使)缓和,1,Chapter 1 自然地理,/ˈmɒdərət/,A word in this category
warm,adj. 温暖的 v(使)变暖,1,Chapter 1 自然地理,/wɔːm/,A word in this category
thermal,adj. 热量的,1,Chapter 1 自然地理,/ˈθɜːm(ə)l/,A word in this category
tropics,n. [the ~] 热带地区,1,Chapter 1 自然地理,/ˈtrɒpɪks/,A word in this category
arid,adj. 干燥的，干旱的；枯燥的,1,Chapter 1 自然地理,/ˈærɪd/,A word in this category
moist,adj. 潮湿的，湿润的,1,Chapter 1 自然地理,/mɔɪst/,A word in this category
damp,adj. 潮湿的，湿气重的,1,Chapter 1 自然地理,/dæmp/,A word in this category
humid,adj. 潮湿的，湿热的,1,Chapter 1 自然地理,/ˈhjuːmɪd/,A word in this category
snowy,adj. 下雪多的；被雪覆盖的,1,Chapter 1 自然地理,/ˈsnəʊi/,A word in this category
frost,n. 霜；霜冻；严寒,1,Chapter 1 自然地理,/frɒst/,A word in this category
hail,n. 雹，冰雹 v. 赞扬；招呼；下雹,1,Chapter 1 自然地理,/heɪl/,A word in this category
thaw,v. 解冻，融解，融化 n. 解冻时期,1,Chapter 1 自然地理,/θɔː/,A word in this category
chill,v.(使)变冷；使恐惧 n. 寒冷；害怕,1,Chapter 1 自然地理,/tʃɪl/,A word in this category
freeze,v. 结冰 n. 霜冻；严寒期,1,Chapter 1 自然地理,/friːz/,A word in this category
frigid,adj. 寒冷的,1,Chapter 1 自然地理,/ˈfrɪdʒɪd/,A word in this category
tremble,v.战栗，颤抖  n. 战栗，颤抖,1,Chapter 1 自然地理,/ˈtremb(ə)l/,A word in this category
shiver,v. 颤抖，哆嗦，发抖,1,Chapter 1 自然地理,/ˈʃɪvə(r)/,A word in this category
thunder,n. 雷；雷声 v. 打雷；轰隆隆地快速移动,1,Chapter 1 自然地理,/ˈθʌndə(r)/,A word in this category
lightning,n. 闪电 adj. 闪电般的，极快的,1,Chapter 1 自然地理,/ˈlaɪtnɪŋ/,A word in this category
stormy,adj. 有暴风雨的；争吵激烈的；(大海)波涛汹涌的,1,Chapter 1 自然地理,/ˈstɔːmi/,A word in this category
downpour,n. 倾盆大雨,1,Chapter 1 自然地理,/ˈdaʊnpɔː(r)/,A word in this category
rainfall,n. 降雨量,1,Chapter 1 自然地理,/ˈreɪnfɔːl/,A word in this category
sprinkle,v. 撒，洒；下小雨 n. 少量；小雨,1,Chapter 1 自然地理,/ˈsprɪŋk(ə)l/,A word in this category
rainbow,n. 虹，彩虹,1,Chapter 1 自然地理,/ˈreɪnbəʊ/,A word in this category
shower,n. 阵雨；(一)阵；淋浴,1,Chapter 1 自然地理,/ˈʃaʊə(r)/,A word in this category
Celsius,adj. 摄氏的 n. 摄氏温度,1,Chapter 1 自然地理,/ˈselsiəs/,A word in this category
temperature,n. 气温；体温；温度,1,Chapter 1 自然地理,/ˈtemprətʃə(r)/,A word in this category
forecast,n. 预测，预报 v. 预测，预言,1,Chapter 1 自然地理,/ˈfɔːkɑːst/,A word in this category
peak,n. 山峰；顶点 v. 达到最大值,1,Chapter 1 自然地理,/piːk/,A word in this category
mount,v. 渐渐增加；爬上，登上 n. [M~] 山,1,Chapter 1 自然地理,/maʊnt/,A word in this category
mountain,n. 山，山岳，高山,1,Chapter 1 自然地理,/ˈmaʊntən/,A word in this category
range,v.(在一定幅度内)变动,1,Chapter 1 自然地理,/reɪndʒ/,A word in this category
ridge,n. 山脊，山脉 v. 使隆起,1,Chapter 1 自然地理,/rɪdʒ/,A word in this category
slope,v. 倾斜；有坡度 n. 山坡；斜坡,1,Chapter 1 自然地理,/sləʊp/,A word in this category
valley,n. 山谷，溪谷,1,Chapter 1 自然地理,/ˈvæli/,A word in this category
hillside,n.(小山的)山腰，山坡,1,Chapter 1 自然地理,/ˈhɪlsaɪd/,A word in this category
overlook,v. 俯瞰，远眺；未注意到,1,Chapter 1 自然地理,/ˌəʊvəˈlʊk/,A word in this category
southern,adj. 南部的；南方的,1,Chapter 1 自然地理,/ˈsʌðən/,A word in this category
southeast,n. 东南方；东南部 adj. 东南方的；东南部的,1,Chapter 1 自然地理,/ˌsaʊθˈiːst/,A word in this category
southwest,n. 西南方；西南部 adj. 西南方的；西南部的,1,Chapter 1 自然地理,/ˌsaʊθˈwest/,A word in this category
northeast,n. 东北方；东北部 adj. 东北方的；东北部的,1,Chapter 1 自然地理,/ˌnɔːθˈiːst/,A word in this category
northwest,n. 西北方；西北部 adj. 西北方的；西北部的,1,Chapter 1 自然地理,/ˌnɔːθˈwest/,A word in this category
eastern,adj. 东部的；东方的,1,Chapter 1 自然地理,/ˈiːstən/,A word in this category
oriental,adj. 东方的(尤指中国和日本的),1,Chapter 1 自然地理,/ˌɔːriˈent(ə)l/,A word in this category
inevitable,adj. 不可避免的，必然的,1,Chapter 1 自然地理,/ɪnˈevɪtəb(ə)l/,A word in this category
irreversible,adj. 不可逆转的；不可挽回的,1,Chapter 1 自然地理,/ˌɪrɪˈvɜːsəb(ə)l/,A word in this category
irregularly,adv. 不规则地；不合常规地,1,Chapter 1 自然地理,/ɪˈreɡjələli/,A word in this category
inappropriate,adj. 不合适的,1,Chapter 1 自然地理,/ˌɪnəˈprəʊpriət/,A word in this category
abnormal,adj. 不正常的，反常的；变态的,1,Chapter 1 自然地理,/æbˈnɔːm(ə)l/,A word in this category
sediment,n. 沉淀物；沉积物,1,Chapter 1 自然地理,/ˈsedɪmənt/,A word in this category
silt,n. 淤泥，泥沙 v.(使)淤塞,1,Chapter 1 自然地理,/sɪlt/,A word in this category
muddy,adj. 泥泞的；浑浊的,1,Chapter 1 自然地理,/ˈmʌdi/,A word in this category
clay,n. 黏土，陶土,1,Chapter 1 自然地理,/kleɪ/,A word in this category
dirt,n. 污垢，灰尘；［尤美］泥土,1,Chapter 1 自然地理,/dɜːt/,A word in this category
rural,adj. 农村的，乡村的；田园的,1,Chapter 1 自然地理,/ˈrʊərəl/,A word in this category
suburb,n. 郊区，郊外，近郊,1,Chapter 1 自然地理,/ˈsʌbɜːb/,A word in this category
outskirts,n. 郊区，市郊,1,Chapter 1 自然地理,/ˈaʊtskɜːts/,A word in this category
remote,adj. 遥远的；偏僻的；疏远的,1,Chapter 1 自然地理,/rɪˈməʊt/,A word in this category
desolate,adj. 荒凉的,1,Chapter 1 自然地理,/ˈdesələt/,A word in this category
distant,adj. 疏远的；遥远的,1,Chapter 1 自然地理,/ˈdɪstənt/,A word in this category
adjacent,adj. 邻近的，毗连的,1,Chapter 1 自然地理,/əˈdʒeɪs(ə)nt/,A word in this category
toxic,adj. 有毒的,1,Chapter 1 自然地理,/ˈtɒksɪk/,A word in this category
pollution,n. 污染,1,Chapter 1 自然地理,/pəˈluːʃ(ə)n/,A word in this category
pollutant,n. 污染物质,1,Chapter 1 自然地理,/pəˈluːtənt/,A word in this category
contaminate,v. 弄脏，污染,1,Chapter 1 自然地理,/kənˈtæmɪneɪt/,A word in this category
geology,n. 地质学；地质状况,1,Chapter 1 自然地理,/dʒiˈɒlədʒi/,A word in this category
border,n. 边界；边界地区；镶边 v. 和……毗邻；形成……的边界,1,Chapter 1 自然地理,/ˈbɔːdə(r)/,A word in this category
margin,n. 边缘；页边空白；余地,1,Chapter 1 自然地理,/ˈmɑːdʒɪn/,A word in this category
fringe,n. 边缘；刘海儿 adj. 次要的；非主流的,1,Chapter 1 自然地理,/frɪndʒ/,A word in this category
plate,n.(地质学中的大陆)板块；盘,1,Chapter 1 自然地理,/pleɪt/,A word in this category
debris,n. 碎片，残骸,1,Chapter 1 自然地理,/ˈdebriː/,A word in this category
crack,v. 破裂；发出爆裂声 n. 裂缝；缝隙,1,Chapter 1 自然地理,/kræk/,A word in this category
gap,n. 缺口，裂缝；差距；空白,1,Chapter 1 自然地理,/ɡæp/,A word in this category
splendid,adj. 极好的；壮观的,1,Chapter 1 自然地理,/ˈsplendɪd/,A word in this category
grand,adj. 宏大的；豪华的，宏伟的；极好的,1,Chapter 1 自然地理,/ɡrænd/,A word in this category
magnificent,adj. 壮丽的，宏伟的；令人印象深刻的,1,Chapter 1 自然地理,/mæɡˈnɪfɪs(ə)nt/,A word in this category
super,adj. 超级的，极好的,1,Chapter 1 自然地理,/ˈsuːpə(r)/,A word in this category
interesting,adj. 有趣的；引人入胜的,1,Chapter 1 自然地理,/ˈɪntrəstɪŋ/,A word in this category
dramatic,adj. 戏剧的；引人注目的,1,Chapter 1 自然地理,/drəˈmætɪk/,A word in this category
wilderness,n. 荒野,1,Chapter 1 自然地理,/ˈwɪldənəs/,A word in this category
desert,n. 沙漠 v. 离弃，遗弃；擅离,1,Chapter 1 自然地理,/ˈdezət/,A word in this category
deforest,v. 毁掉……森林,1,Chapter 1 自然地理,/ˌdiːˈfɒrɪst/,A word in this category
barren,adj. 贫瘠的，荒芜的；不结果实的,1,Chapter 1 自然地理,/ˈbærən/,A word in this category
fertile,adj. 肥沃的，富饶的,1,Chapter 1 自然地理,/ˈfɜːtaɪl/,A word in this category
fertilise,v. 施肥于(= fertilize),1,Chapter 1 自然地理,/ˈfɜːtəlaɪz/,A word in this category
solar,adj. 太阳的，日光的,1,Chapter 1 自然地理,/ˈsəʊlə(r)/,A word in this category
lunar,adj. 月亮的，月球的,1,Chapter 1 自然地理,/ˈluːnə(r)/,A word in this category
calendar,n. 日历；历法,1,Chapter 1 自然地理,/ˈkælɪndə(r)/,A word in this category
sunrise,n. 日出,1,Chapter 1 自然地理,/ˈsʌnraɪz/,A word in this category
sunset,n. 日落,1,Chapter 1 自然地理,/ˈsʌnset/,A word in this category
eclipse,n. 日食；月食,1,Chapter 1 自然地理,/ɪˈklɪps/,A word in this category
dusk,n. 黄昏，傍晚,1,Chapter 1 自然地理,/dʌsk/,A word in this category
heaven,n. 天堂；极乐(之地)；[the ~s] 天空,1,Chapter 1 自然地理,/ˈhev(ə)n/,A word in this category
paradise,n. 天堂；乐园，福地,1,Chapter 1 自然地理,/ˈpærədaɪs/,A word in this category
sunshine,n. 阳光，日光,1,Chapter 1 自然地理,/ˈsʌnʃaɪn/,A word in this category
shade,n. 阴影部分；背阴处 v. 给……遮挡(光线),1,Chapter 1 自然地理,/ʃeɪd/,A word in this category
shadow,n. 影子，阴影,1,Chapter 1 自然地理,/ˈʃædəʊ/,A word in this category
vapour,n. 蒸气；水汽,1,Chapter 1 自然地理,/ˈveɪpə(r)/,A word in this category
evaporate,v.(使)蒸发；消失,1,Chapter 1 自然地理,/ɪˈvæpəreɪt/,A word in this category
circulate,v.(使)循环，(使)流通；(信息等)传播,1,Chapter 1 自然地理,/ˈsɜːkjəleɪt/,A word in this category
precipitate,v.(水汽等)凝结；沉淀,1,Chapter 1 自然地理,/prɪˈsɪpɪteɪt/,A word in this category
reservoir,n. 水库，蓄水池,1,Chapter 1 自然地理,/ˈrezəvwɑː(r)/,A word in this category
waterfall,n. 瀑布,1,Chapter 1 自然地理,/ˈwɔːtəfɔːl/,A word in this category
fountain,n. 喷泉；源泉,1,Chapter 1 自然地理,/ˈfaʊntən; ˈfaʊntɪn/,A word in this category
spring,n. 春天；泉水,1,Chapter 1 自然地理,/sprɪŋ/,A word in this category
dew,n. 露水,1,Chapter 1 自然地理,/djuː/,A word in this category
pour,v. 倾泻；倒；(雨)倾盆而下,1,Chapter 1 自然地理,/pɔː(r)/,A word in this category
drain,v. 排空；(使)流出 n. 耗竭,1,Chapter 1 自然地理,/dreɪn/,A word in this category
drip,v. 滴出(液体)；滴下,1,Chapter 1 自然地理,/drɪp/,A word in this category
drown,v.(使)淹死；浸泡,1,Chapter 1 自然地理,/draʊn/,A word in this category
blow,v. 吹；(风)吹；吹动 n. 用力的一击；打击，挫折,1,Chapter 1 自然地理,/bləʊ/,A word in this category
puff,v. 喷出；喘息 n.(吹出的)一股，一缕,1,Chapter 1 自然地理,/pʌf/,A word in this category
gush,v.涌出 n. 涌出,1,Chapter 1 自然地理,/ɡʌʃ/,A word in this category
dense,adj. 密集的；稠密的,1,Chapter 1 自然地理,/dens/,A word in this category
intensity,n. 强度；强烈,1,Chapter 1 自然地理,/ɪnˈtensəti/,A word in this category
intensive,adj. 加强的，集中的，密集的,1,Chapter 1 自然地理,/ɪnˈtensɪv/,A word in this category
emerge,v. 浮现，露出；摆脱出来；暴露,1,Chapter 1 自然地理,/ɪˈmɜːdʒ/,A word in this category
flash,v.(使)闪光；(使)闪现；(通过计算机、卫星等)快速发送 n. 闪光(灯)；闪现,1,Chapter 1 自然地理,/flæʃ/,A word in this category
float,v. 漂浮；飘浮,1,Chapter 1 自然地理,/fləʊt/,A word in this category
environment,n. 自然环境；环境，周围状况,1,Chapter 1 自然地理,/ɪnˈvaɪrənmənt/,A word in this category
surrounding,adj. 周围的，附近的,1,Chapter 1 自然地理,/səˈraʊndɪŋ/,A word in this category
condition,n. 条件；情况，状态,1,Chapter 1 自然地理,/kənˈdɪʃn/,A word in this category
situation,n. 情况，处境，形势,1,Chapter 1 自然地理,/ˌsɪtʃuˈeɪʃ(ə)n/,A word in this category
nature,n. 大自然；本性；性质,1,Chapter 1 自然地理,/ˈneɪtʃə(r)/,A word in this category
natural,adj. 自然的；天然的,1,Chapter 1 自然地理,/ˈnætʃ(ə)rəl/,A word in this category
artificial,adj. 人造的,1,Chapter 1 自然地理,/ˌɑːtɪˈfɪʃ(ə)l/,A word in this category
synthetic,adj. 人造的，合成的 n. [~s] 合成物,1,Chapter 1 自然地理,/sɪnˈθetɪk/,A word in this category
petrol,n. [ 英 ] 汽油,1,Chapter 1 自然地理,/ˈpetrəl/,A word in this category
gas,n. 气体；[ 美 ] 汽油,1,Chapter 1 自然地理,/ɡæs/,A word in this category
gasoline,n. [ 美 ] 汽油,1,Chapter 1 自然地理,/ˈɡæsəliːn/,A word in this category
petroleum,n. 石油,1,Chapter 1 自然地理,/pəˈtrəʊlɪəm/,A word in this category
photosynthesis,n. 光合作用,2,Chapter 2 植物研究,/ˌfəʊtəʊˈsɪnθəsɪs/,A word in this category
respire,v. 呼吸,2,Chapter 2 植物研究,/rɪˈspaɪə(r)/,A word in this category
dioxide,n. 二氧化物,2,Chapter 2 植物研究,/daɪˈɒksaɪd/,A word in this category
vegetation,n. 植物，草木,2,Chapter 2 植物研究,/ˌvedʒəˈteɪʃ(ə)n/,A word in this category
herb,n. 药草；香草,2,Chapter 2 植物研究,/hɜːb/,A word in this category
perennial,n. 多年生植物 adj. 长期的，持久的,2,Chapter 2 植物研究,/pəˈreniəl/,A word in this category
botany,n. 植物学,2,Chapter 2 植物研究,/ˈbɒtəni/,A word in this category
ecology,n. 生态学；生态,2,Chapter 2 植物研究,/iˈkɒlədʒi/,A word in this category
ecosystem,n. 生态系统,2,Chapter 2 植物研究,/ˈiːkəʊsɪstəm/,A word in this category
eco-friendly,adj. 对生态环境友好的，不妨害生态环境的,2,Chapter 2 植物研究,/ˌiːkəʊ ˈfrendli/,A word in this category
horticulture,n. 园艺学；园艺,2,Chapter 2 植物研究,/ˈhɔːtɪkʌltʃə(r)/,A word in this category
organism,n. 有机体，生物,2,Chapter 2 植物研究,/ˈɔːɡənɪzəm/,A word in this category
genetics,n. 遗传学,2,Chapter 2 植物研究,/dʒəˈnetɪks/,A word in this category
mutation,n. 突变，变异,2,Chapter 2 植物研究,/mjuːˈteɪʃn/,A word in this category
variation,n. 变种；变异,2,Chapter 2 植物研究,/ˌveəriˈeɪʃ(ə)n/,A word in this category
diversity,n. 多样性,2,Chapter 2 植物研究,/daɪˈvɜːsəti/,A word in this category
hybridisation,n. 杂交(= hybridization),2,Chapter 2 植物研究,/ˌhaɪbrɪdaɪˈzeɪʃən/,A word in this category
classify,v. 分类,2,Chapter 2 植物研究,/ˈklæsɪfaɪ/,A word in this category
